Source,Destination,Length,Sequence,MessageType,Label
0,3,78,14822,11,0
0,3,58,28096,0,0
0,3,58,28096,8,0
0,3,60,27917,8,1
0,3,60,27974,0,1
0,3,58,28097,0,0
0,3,58,28097,8,0
0,3,60,28037,0,1
0,3,78,14823,11,0
0,3,58,28098,0,0
0,3,58,28098,8,0
0,3,60,28037,8,1
0,3,60,27975,0,1
0,3,58,28099,0,0
0,3,58,28099,8,0
0,3,60,28038,0,1
0,3,78,14824,11,0
0,3,60,28038,8,1
0,3,58,28100,0,0
0,3,58,28100,8,0
1,3,60,27537,1,0
0,3,68,27537,9,0
0,3,60,27918,0,1
0,3,58,28101,0,0
0,3,58,28101,8,0
0,3,60,27918,8,1
0,3,60,27938,0,1
0,3,78,14825,11,0
0,3,58,28102,0,0
0,3,58,28102,8,0
0,3,60,28041,0,1
0,3,60,27980,0,1
0,3,58,28103,0,0
0,3,58,28103,8,0
0,3,60,27981,0,1
0,3,78,14826,11,0
0,3,60,28043,0,1
0,3,58,28104,0,0
0,3,58,28104,8,0
0,3,60,27940,8,1
0,3,58,28105,0,0
0,3,58,28105,8,0
0,3,60,28044,0,1
0,3,78,14827,11,0
0,3,60,28045,0,1
0,3,58,28106,0,0
0,3,58,28106,8,0
0,3,60,28045,8,1
0,3,58,28107,0,0
0,3,58,28107,8,0
0,3,60,28046,0,1
0,3,78,14828,11,0
0,3,58,28108,0,0
0,3,58,28108,8,0
0,3,60,27987,0,1
0,3,60,27987,8,1
0,3,58,28109,0,0
0,3,58,28109,8,0
0,3,60,27942,8,1
0,3,60,27943,0,1
0,3,78,14829,11,0
0,3,58,28110,0,0
0,3,58,28110,8,0
0,3,60,28049,0,1
0,3,60,27921,0,1
0,3,58,28111,0,0
0,3,58,28111,8,0
0,3,60,27944,0,1
0,3,60,27944,8,1
0,3,78,14830,11,0
0,3,58,28112,0,0
0,3,58,28112,8,0
0,3,60,28051,0,1
0,3,60,27991,8,1
0,3,58,28113,0,0
0,3,58,28113,8,0
0,3,60,28052,0,1
0,3,60,27945,8,1
0,3,78,14831,11,0
0,3,58,28114,0,0
0,3,58,28114,8,0
0,3,60,28054,0,1
0,3,60,27995,0,1
0,3,58,28115,0,0
0,3,58,28115,8,0
0,3,60,27995,8,1
0,3,78,14832,11,0
0,3,60,28057,0,1
0,3,58,28116,0,0
0,3,58,28116,8,0
0,3,60,28057,8,1
0,3,58,28117,0,0
0,3,58,28117,8,0
0,3,60,28058,0,1
0,3,78,14833,11,0
0,3,60,28058,8,1
0,3,58,28118,0,0
0,3,58,28118,8,0
0,3,60,28059,0,1
0,3,58,28119,0,0
0,3,58,28119,8,0
0,3,60,28000,8,1
0,3,60,28001,0,1
0,3,78,14834,11,0
0,3,58,28120,0,0
0,3,58,28120,8,0
0,3,60,27923,8,1
0,3,58,28121,0,0
0,3,58,28121,8,0
0,3,60,27949,0,1
0,3,78,14835,11,0
0,3,58,28122,0,0
0,3,58,28122,8,0
0,3,60,27949,8,1
0,3,58,28123,0,0
0,3,58,28123,8,0
0,3,60,28065,0,1
0,3,78,14836,11,0
0,3,58,28124,0,0
0,3,58,28124,8,0
0,3,60,28005,8,1
0,3,58,28125,0,0
0,3,58,28125,8,0
0,3,60,28067,0,1
0,3,78,14837,11,0
0,3,58,28126,0,0
0,3,58,28126,8,0
0,3,60,28067,8,1
0,3,58,28127,0,0
0,3,58,28127,8,0
1,3,60,27538,1,0
0,3,68,27538,9,0
0,3,60,27924,8,1
0,3,78,14838,11,0
0,3,60,28069,0,1
0,3,58,28128,0,0
0,3,58,28128,8,0
0,3,60,27951,8,1
0,3,58,28129,0,0
0,3,58,28129,8,0
0,3,60,28070,0,1
0,3,78,14839,11,0
0,3,58,28130,0,0
0,3,58,28130,8,0
0,3,60,28010,0,1
0,3,58,28131,0,0
0,3,58,28131,8,0
0,3,60,28010,8,1
0,3,78,14840,11,0
0,3,58,28132,0,0
0,3,58,28132,8,0
0,3,60,28072,0,1
1,3,60,27539,1,0
0,3,68,27539,9,0
0,3,58,28133,0,0
0,3,58,28133,8,0
0,3,60,27925,8,1
0,3,60,28073,0,1
0,3,78,14841,11,0
0,3,58,28134,0,0
0,3,58,28134,8,0
0,3,60,28074,0,1
0,3,58,28135,0,0
0,3,58,28135,8,0
0,3,60,28075,0,1
0,3,78,14842,11,0
0,3,58,28136,0,0
0,3,58,28136,8,0
0,3,60,27926,8,1
0,3,58,28137,0,0
0,3,58,28137,8,0
0,3,60,28077,0,1
0,3,60,28017,0,1
0,3,78,14843,11,0
0,3,58,28138,0,0
0,3,58,28138,8,0
0,3,60,28017,8,1
0,3,58,28139,0,0
0,3,58,28139,8,0
0,3,60,27909,0,1
1,3,60,27540,1,0
0,3,68,27540,9,0
0,3,78,14844,11,0
0,3,58,28140,0,0
0,3,58,28140,8,0
0,3,60,28079,0,1
0,3,58,28141,0,0
0,3,58,28141,8,0
0,3,60,28019,0,1
0,3,78,14845,11,0
0,3,58,28142,0,0
0,3,58,28142,8,0
0,3,60,27929,0,1
0,3,58,28143,0,0
0,3,58,28143,8,0
0,3,60,28021,0,1
0,3,78,14846,11,0
0,3,60,27961,0,1
0,3,58,28144,0,0
0,3,58,28144,8,0
0,3,60,27962,0,1
0,3,58,28145,0,0
0,3,58,28145,8,0
0,3,60,28023,8,1
0,3,78,14847,11,0
0,3,58,28146,0,0
0,3,58,28146,8,0
0,3,60,28025,0,1
0,3,58,28147,0,0
0,3,58,28147,8,0
0,3,60,28085,0,1
0,3,60,28085,8,1
0,3,78,14848,11,0
0,3,58,28148,0,0
0,3,58,28148,8,0
0,3,60,28087,0,1
0,3,58,28149,0,0
