Source,Destination,Length,SequenceID,MessageType,Label
1,2,68,19266,9,0
1,2,78,43884,11,0
1,2,60,22205,0,0
0,2,58,19267,1,0
1,2,68,19267,9,0
0,2,58,19268,1,0
1,2,68,19268,9,0
0,2,58,19269,1,0
1,2,68,19269,9,0
1,2,60,22206,0,0
0,2,58,19270,1,0
1,2,68,19270,9,0
1,2,78,43885,11,0
1,2,60,22207,0,0
1,2,60,22208,0,0
0,2,58,19271,1,0
1,2,68,19271,9,0
1,2,78,43886,11,0
1,2,60,22209,0,0
0,2,58,19272,1,0
1,2,68,19272,9,0
0,2,58,19273,1,0
1,2,68,19273,9,0
1,2,60,22210,0,0
0,2,58,19274,1,0
1,2,68,19274,9,0
0,2,58,19275,1,0
1,2,68,19275,9,0
1,2,78,43887,11,0
1,2,60,22211,0,0
0,2,58,19276,1,0
1,2,68,19276,9,0
1,2,60,22212,0,0
0,2,58,19277,1,0
1,2,68,19277,9,0
1,2,78,43888,11,0
1,2,60,22213,0,0
0,2,58,19278,1,0
1,2,68,19278,9,0
1,2,60,22214,0,0
0,2,58,19279,1,0
1,2,68,19279,9,0
1,2,78,43889,11,0
1,2,60,22215,0,0
1,2,60,22216,0,0
0,2,58,19280,1,0
1,2,68,19280,9,0
1,2,78,43890,11,0
1,2,60,22217,0,0
0,2,58,19281,1,0
1,2,68,19281,9,0
0,2,58,19282,1,0
1,2,68,19282,9,0
1,2,60,22218,0,0
0,2,58,19283,1,0
1,2,68,19283,9,0
1,2,78,43891,11,0
1,2,60,22219,0,0
0,2,58,19284,1,0
1,2,68,19284,9,0
1,2,60,22220,0,0
0,2,58,19285,1,0
1,2,68,19285,9,0
1,2,78,43892,11,0
1,2,60,22221,0,0
0,2,58,19286,1,0
1,2,68,19286,9,0
1,2,60,22222,0,0
1,2,78,43893,11,0
1,2,60,22223,0,0
0,2,58,19287,1,0
1,2,68,19287,9,0
1,2,60,22224,0,0
0,2,58,19288,1,0
1,2,68,19288,9,0
1,2,78,43894,11,0
1,2,60,22225,0,0
0,2,58,19289,1,0
1,2,68,19289,9,0
1,2,60,22226,0,0
1,2,78,43895,11,0
1,2,60,22227,0,0
0,2,58,19290,1,0
1,2,68,19290,9,0
1,2,60,22228,0,0
0,2,58,19291,1,0
1,2,68,19291,9,0
1,2,78,43896,11,0
1,2,60,22229,0,0
0,2,58,19292,1,0
1,2,68,19292,9,0
1,2,60,22230,0,0
1,2,78,43897,11,0
1,2,60,22231,0,0
0,2,58,19293,1,0
1,2,68,19293,9,0
1,2,60,22232,0,0
0,2,58,19294,1,0
1,2,68,19294,9,0
1,2,78,43898,11,0
1,2,60,22233,0,0
0,2,58,19295,1,0
1,2,68,19295,9,0
0,2,58,19296,1,0
1,2,68,19296,9,0
1,2,60,22234,0,0
1,2,78,43899,11,0
1,2,60,22235,0,0
0,2,58,19297,1,0
1,2,68,19297,9,0
1,2,60,22236,0,0
0,2,58,19298,1,0
1,2,68,19298,9,0
1,2,78,43900,11,0
1,2,60,22237,0,0
0,2,58,19299,1,0
1,2,68,19299,9,0
1,2,60,22238,0,0
1,2,78,43901,11,0
1,2,60,22239,0,0
0,2,58,19300,1,0
1,2,68,19300,9,0
1,2,60,22240,0,0
0,2,58,19301,1,0
1,2,68,19301,9,0
1,2,78,43902,11,0
1,2,60,22241,0,0
1,2,60,22242,0,0
0,2,58,19302,1,0
1,2,68,19302,9,0
1,2,78,43903,11,0
1,2,60,22243,0,0
0,2,58,19303,1,0
1,2,68,19303,9,0
1,2,60,22244,0,0
1,2,78,43904,11,0
1,2,60,22245,0,0
0,2,58,19304,1,0
1,2,68,19304,9,0
1,2,60,22246,0,0
0,2,58,19305,1,0
1,2,68,19305,9,0
1,2,78,43905,11,0
1,2,60,22247,0,0
0,2,58,19306,1,0
1,2,68,19306,9,0
1,2,60,22248,0,0
0,2,58,19307,1,0
1,2,68,19307,9,0
0,2,58,19308,1,0
1,2,68,19308,9,0
1,2,78,43906,11,0
1,2,60,22249,0,0
0,2,58,19309,1,0
1,2,68,19309,9,0
1,2,60,22250,0,0
1,2,78,43907,11,0
1,2,60,22251,0,0
0,2,58,19310,1,0
1,2,68,19310,9,0
1,2,60,22252,0,0
1,2,78,43908,11,0
1,2,60,22253,0,0
0,2,58,19311,1,0
1,2,68,19311,9,0
0,2,58,19312,1,0
1,2,68,19312,9,0
1,2,60,22254,0,0
0,2,58,19313,1,0
1,2,68,19313,9,0
0,2,58,19314,1,0
1,2,68,19314,9,0
1,2,78,43909,11,0
1,2,60,22255,0,0
0,2,58,19315,1,0
1,2,68,19315,9,0
1,2,60,22256,0,0
0,2,58,19316,1,0
1,2,68,19316,9,0
1,2,78,43910,11,0
1,2,60,22257,0,0
0,2,58,19317,1,0
1,2,68,19317,9,0
1,2,60,22258,0,0
1,2,78,43911,11,0
1,2,60,22259,0,0
0,2,58,19318,1,0
1,2,68,19318,9,0
0,2,58,19319,1,0
1,2,68,19319,9,0
1,2,60,22260,0,0
0,2,58,19320,1,0
1,2,68,19320,9,0
1,2,78,43912,11,0
1,2,60,22261,0,0
0,2,58,19321,1,0
1,2,68,19321,9,0
1,2,60,22262,0,0
0,2,58,19322,1,0
1,2,68,19322,9,0
0,2,58,19323,1,0
1,2,68,19323,9,0
0,2,58,19324,1,0
1,2,68,19324,9,0
1,2,78,43913,11,0
1,2,60,22263,0,0
1,2,60,22264,0,0
0,2,58,19325,1,0
1,2,68,19325,9,0
1,2,78,43914,11,0
1,2,60,22265,0,0
1,2,60,22266,0,0
0,2,58,19326,1,0
1,2,68,19326,9,0
1,2,78,43915,11,0
1,2,60,22267,0,0
0,2,58,19327,1,0
1,2,68,19327,9,0
1,2,60,22268,0,0
1,2,78,43916,11,0
1,2,60,22269,0,0
0,2,58,19328,1,0
1,2,68,19328,9,0
0,2,58,19329,1,0
1,2,68,19329,9,0
1,2,60,22270,0,0
1,2,78,43917,11,0
1,2,60,22271,0,0
